"program_name","events_in_stream","events_in_summary","missing_events","total_energy_exported_kwh","data_completeness_pct"
"","3","0","3","0","0"
"Arbitrage Program","5","0","5","0","0"
"Chariot Test","26","24","2","861,406","92.3"
"Chariot-Default","375","12","363","652,944","3.2"
"DSGS","1","0","1","0","0"
"DSGS 2","2","0","2","0","0"
"DSGS Qcells Sites","205","111","94","379,301,568.47","54.1"
"Loadzone Test","2","0","2","0","0"
"PRG tEST","1","0","1","0","0"
"Prg Test Upcoming","1","0","1","0","0"
"Qcells Enphase Cross Program VPP","1","1","0","3","100"
"Qcells Leap Verification","19","17","2","52,856","89.5"
"Qcells Tesla Cross Instance Program VPP","1","1","0","4,761","100"
"Qcells Verification","1","0","1","0","0"
"Qcells Verification - Arbitrage","17","0","17","0","0"
"Test after dep","2","0","2","0","0"
"Test1","2","1","1","0","50"
"Test22-08","1","0","1","0","0"
"Test220898","1","0","1","0","0"
"Test23","2","0","2","0","0"
"aaaaleap test 2gd","1","0","1","0","0"
"cs_daily_battery","41","0","41","0","0"
"ctess_active","43","0","43","0","0"
"test event 0708","2","0","2","0","0"
"test220899","1","1","0","0","100"
