"site_id","event_id","command_group_id","command","command_type_group_id","command_type","command_start_time","command_start_time_discharge","command_start_time_charge","command_start_time_imported","command_start_time_exported","command_start_time_battery_power","command_end_time","command_end_time_discharge","command_end_time_charge","command_end_time_imported","command_end_time_exported","command_end_time_battery_power","command_battery_power_sum","event_start_time","rn","next_command_start_time","next_command_start_discharge","next_command_start_charge","next_command_start_imported","next_command_start_exported","next_command_start_battery_power","prev_command_end_battery_power","overall_command_start_time","overall_command_end_time","overall_command_discharge","overall_command_charge","overall_command_imported","overall_command_exported","latest_avg_battery_power","overall_command_time_seconds","overall_event_time_seconds","overall_command_battery_power"
"400062490","ca0c0d89-614d-4358-b31f-2cb27a29cf5f","1","DISCHARGE_TO_HOME_AND_GRID","1","discharge","2026-05-12 07:16:23.000","","","","","","2026-05-12 07:16:23.000","","","","","","0","","1","","","","","","","","2026-05-12 07:16:23.000","2026-05-12 07:16:23.000","","","","","","0","0",""
"400062467","ca0c0d89-614d-4358-b31f-2cb27a29cf5f","1","DISCHARGE_TO_HOME_AND_GRID","1","discharge","2026-05-12 07:15:57.000","600","0","0","0","7,896","2026-05-12 08:10:08.000","4,900","0","2,800","100","0","47,438","","2","2026-05-12 08:15:17.000","4,900","0","3,400","100","0","","2026-05-12 07:15:57.000","2026-05-12 08:15:17.000","4,900","0","3,400","100","0","3,560","3,560","0"
"400062467","ca0c0d89-614d-4358-b31f-2cb27a29cf5f","2","STOPDISPATCHCOMMANDDTO","2","stop","2026-05-12 08:15:17.000","4,900","0","3,400","100","0","2026-05-12 08:15:17.000","4,900","0","3,400","100","0","0","","3","","","","","","","0","2026-05-12 08:15:17.000","2026-05-12 08:15:17.000","0","0","0","0","0","0","3,560","NaN"
"400062434","ca0c0d89-614d-4358-b31f-2cb27a29cf5f","1","DISCHARGE_TO_HOME_AND_GRID","1","discharge","2026-05-12 07:16:23.000","23","3","2.25","1.5","93","2026-05-12 07:16:23.000","23","3","2.25","1.5","93","93","","4","","","","","","","","2026-05-12 07:16:23.000","2026-05-12 07:16:23.000","23","3","2.25","1.5","93","0","0","NaN"
"400062068","ca0c0d89-614d-4358-b31f-2cb27a29cf5f","1","DISCHARGE_TO_HOME_AND_GRID","1","discharge","2026-05-12 07:16:23.000","126","0","1","1","1,357","2026-05-12 07:16:23.000","126","0","1","1","1,357","1,357","","5","","","","","","","","2026-05-12 07:16:23.000","2026-05-12 07:16:23.000","126","0","1","1","1,357","0","0","NaN"
"400061937","ca0c0d89-614d-4358-b31f-2cb27a29cf5f","1","DISCHARGE_TO_HOME_AND_GRID","1","discharge","2026-05-12 07:15:57.000","0","0","100","0","0","2026-05-12 08:10:08.000","0","0","400","0","0","0","","6","2026-05-12 08:15:17.000","0","0","500","0","0","","2026-05-12 07:15:57.000","2026-05-12 08:15:17.000","0","0","500","0","0","3,560","3,560","0"
"400061937","ca0c0d89-614d-4358-b31f-2cb27a29cf5f","2","STOPDISPATCHCOMMANDDTO","2","stop","2026-05-12 08:15:17.000","0","0","500","0","0","2026-05-12 08:15:17.000","0","0","500","0","0","0","","7","","","","","","","0","2026-05-12 08:15:17.000","2026-05-12 08:15:17.000","0","0","0","0","0","0","3,560","NaN"
"400061929","ca0c0d89-614d-4358-b31f-2cb27a29cf5f","1","DISCHARGE_TO_HOME_AND_GRID","1","discharge","2026-05-12 07:17:50.000","103","0","1","61","3,912","2026-05-12 07:17:50.000","103","0","1","61","3,912","3,912","","8","","","","","","","","2026-05-12 07:17:50.000","2026-05-12 07:17:50.000","103","0","1","61","3,912","0","0","NaN"
"400061887","ca0c0d89-614d-4358-b31f-2cb27a29cf5f","1","DISCHARGE_TO_HOME_AND_GRID","1","discharge","2026-05-12 07:16:23.000","595","0","0","0","6,675","2026-05-12 07:16:23.000","595","0","0","0","6,675","6,675","","9","","","","","","","","2026-05-12 07:16:23.000","2026-05-12 07:16:23.000","595","0","0","0","6,675","0","0","NaN"
"400061841","ca0c0d89-614d-4358-b31f-2cb27a29cf5f","1","DISCHARGE_TO_HOME_AND_GRID","1","discharge","2026-05-12 07:16:22.000","78","1","7","0","","2026-05-12 07:16:22.000","78","1","7","0","","0","","10","","","","","","","","2026-05-12 07:16:22.000","2026-05-12 07:16:22.000","78","1","7","0","","0","0",""
"400061795","ca0c0d89-614d-4358-b31f-2cb27a29cf5f","1","DISCHARGE_TO_HOME_AND_GRID","1","discharge","2026-05-12 07:17:40.000","0","0","132","0","0","2026-05-12 07:17:40.000","0","0","132","0","0","0","","11","","","","","","","","2026-05-12 07:17:40.000","2026-05-12 07:17:40.000","0","0","132","0","0","0","0","NaN"
"400061751","ca0c0d89-614d-4358-b31f-2cb27a29cf5f","1","DISCHARGE_TO_HOME_AND_GRID","1","discharge","2026-05-12 07:17:11.000","152","0","0","102","5,000","2026-05-12 07:17:11.000","152","0","0","102","5,000","5,000","","12","","","","","","","","2026-05-12 07:17:11.000","2026-05-12 07:17:11.000","152","0","0","102","5,000","0","0","NaN"
"400061731","ca0c0d89-614d-4358-b31f-2cb27a29cf5f","1","DISCHARGE_TO_HOME_AND_GRID","1","discharge","2026-05-12 07:16:23.000","58","0","0","0","231","2026-05-12 07:16:23.000","58","0","0","0","231","231","","13","","","","","","","","2026-05-12 07:16:23.000","2026-05-12 07:16:23.000","58","0","0","0","231","0","0","NaN"
"400061538","ca0c0d89-614d-4358-b31f-2cb27a29cf5f","1","DISCHARGE_TO_HOME_AND_GRID","1","discharge","2026-05-12 07:16:23.000","","","","","","2026-05-12 07:16:23.000","","","","","","0","","14","","","","","","","","2026-05-12 07:16:23.000","2026-05-12 07:16:23.000","","","","","","0","0",""
"400061407","ca0c0d89-614d-4358-b31f-2cb27a29cf5f","1","DISCHARGE_TO_HOME_AND_GRID","1","discharge","2026-05-12 07:17:20.000","20","0","63","0","5,000","2026-05-12 07:17:20.000","20","0","63","0","5,000","5,000","","15","","","","","","","","2026-05-12 07:17:20.000","2026-05-12 07:17:20.000","20","0","63","0","5,000","0","0","NaN"
"400061394","ca0c0d89-614d-4358-b31f-2cb27a29cf5f","1","DISCHARGE_TO_HOME_AND_GRID","1","discharge","2026-05-12 07:16:23.000","2","0","86","0","0","2026-05-12 07:16:23.000","2","0","86","0","0","0","","16","","","","","","","","2026-05-12 07:16:23.000","2026-05-12 07:16:23.000","2","0","86","0","0","0","0","NaN"
