"event_id","site_id","oem_group_id","command","power","dispatch_time","dispatch_status_code","response","event_processed_utc_time","created_at_utc"
"ca0c0d89-614d-4358-b31f-2cb27a29cf5f","400031093","DSGS_SAN_DIEGO_GAS_ELECTRIC_CO","DISCHARGE_TO_HOME_AND_GRID","7,600","2026-05-12 07:16:02.000","500","Failed to control some device.(deviceIds : [AH2076L1409098], success : [], failed : [AH2076L1409098])","2026-05-12 07:16:03.9977548","2026-05-12 07:16:04.1083196"
"ca0c0d89-614d-4358-b31f-2cb27a29cf5f","400029108","DSGS_SAN_DIEGO_GAS_ELECTRIC_CO","DISCHARGE_TO_HOME_AND_GRID","","2026-05-12 07:16:22.000","400","startTime must be in the future","2026-05-12 07:16:23.8728157","2026-05-12 07:16:23.9984377"
"ca0c0d89-614d-4358-b31f-2cb27a29cf5f","400033526","DSGS_SAN_DIEGO_GAS_ELECTRIC_CO","DISCHARGE_TO_HOME_AND_GRID","","2026-05-12 07:16:23.000","200","ControlResponseDto(requestId=1b5f763faf40fd87645c6a799b8b9591,1b5f763faf40fd87645c6a799b8b9591, eventId=c97d360c-3b22-409c-9ec7-d70717237750)","2026-05-12 07:16:24.5275305","2026-05-12 07:16:25.0836157"
"ca0c0d89-614d-4358-b31f-2cb27a29cf5f","400032980","DSGS_SAN_DIEGO_GAS_ELECTRIC_CO","DISCHARGE_TO_HOME_AND_GRID","21,520","2026-05-12 07:17:40.000","200","Success","2026-05-12 07:17:41.8556779","2026-05-12 07:17:41.9703649"
"ca0c0d89-614d-4358-b31f-2cb27a29cf5f","400031093","DSGS_SAN_DIEGO_GAS_ELECTRIC_CO","DISCHARGE_TO_HOME_AND_GRID","7,600","2026-05-12 07:25:26.000","500","Failed to control some device.(deviceIds : [AH2076L1409098], success : [], failed : [AH2076L1409098])","2026-05-12 07:25:26.8759492","2026-05-12 07:25:27.8791860"
"ca0c0d89-614d-4358-b31f-2cb27a29cf5f","400031093","DSGS_SAN_DIEGO_GAS_ELECTRIC_CO","DISCHARGE_TO_HOME_AND_GRID","7,600","2026-05-12 07:30:19.000","500","Failed to control some device.(deviceIds : [AH2076L1409098], success : [], failed : [AH2076L1409098])","2026-05-12 07:30:20.2983301","2026-05-12 07:30:20.4234112"
"ca0c0d89-614d-4358-b31f-2cb27a29cf5f","400031093","DSGS_SAN_DIEGO_GAS_ELECTRIC_CO","DISCHARGE_TO_HOME_AND_GRID","7,600","2026-05-12 07:35:27.000","500","Failed to control some device.(deviceIds : [AH2076L1409098], success : [], failed : [AH2076L1409098])","2026-05-12 07:35:28.3169021","2026-05-12 07:35:28.4280228"
"ca0c0d89-614d-4358-b31f-2cb27a29cf5f","400031093","DSGS_SAN_DIEGO_GAS_ELECTRIC_CO","DISCHARGE_TO_HOME_AND_GRID","7,600","2026-05-12 07:40:28.000","500","Failed to control some device.(deviceIds : [AH2076L1409098], success : [], failed : [AH2076L1409098])","2026-05-12 07:40:29.4265156","2026-05-12 07:40:29.6503489"
"ca0c0d89-614d-4358-b31f-2cb27a29cf5f","400031093","DSGS_SAN_DIEGO_GAS_ELECTRIC_CO","DISCHARGE_TO_HOME_AND_GRID","7,600","2026-05-12 07:45:14.000","500","Failed to control some device.(deviceIds : [AH2076L1409098], success : [], failed : [AH2076L1409098])","2026-05-12 07:45:15.7721760","2026-05-12 07:45:17.6502435"
"ca0c0d89-614d-4358-b31f-2cb27a29cf5f","400031093","DSGS_SAN_DIEGO_GAS_ELECTRIC_CO","DISCHARGE_TO_HOME_AND_GRID","7,600","2026-05-12 07:50:24.000","500","Failed to control some device.(deviceIds : [AH2076L1409098], success : [], failed : [AH2076L1409098])","2026-05-12 07:50:24.7296750","2026-05-12 07:50:25.7150554"
"ca0c0d89-614d-4358-b31f-2cb27a29cf5f","400031093","DSGS_SAN_DIEGO_GAS_ELECTRIC_CO","DISCHARGE_TO_HOME_AND_GRID","7,600","2026-05-12 07:55:26.000","500","Failed to control some device.(deviceIds : [AH2076L1409098], success : [], failed : [AH2076L1409098])","2026-05-12 07:55:26.4062860","2026-05-12 07:55:26.6266600"
"ca0c0d89-614d-4358-b31f-2cb27a29cf5f","400031093","DSGS_SAN_DIEGO_GAS_ELECTRIC_CO","DISCHARGE_TO_HOME_AND_GRID","7,600","2026-05-12 08:00:26.000","500","Failed to control some device.(deviceIds : [AH2076L1409098], success : [], failed : [AH2076L1409098])","2026-05-12 08:00:28.3135754","2026-05-12 08:00:28.4266214"
"ca0c0d89-614d-4358-b31f-2cb27a29cf5f","400031093","DSGS_SAN_DIEGO_GAS_ELECTRIC_CO","DISCHARGE_TO_HOME_AND_GRID","7,600","2026-05-12 08:05:13.000","500","Failed to control some device.(deviceIds : [AH2076L1409098], success : [], failed : [AH2076L1409098])","2026-05-12 08:05:14.1607646","2026-05-12 08:05:15.1592138"
"ca0c0d89-614d-4358-b31f-2cb27a29cf5f","400031093","DSGS_SAN_DIEGO_GAS_ELECTRIC_CO","DISCHARGE_TO_HOME_AND_GRID","7,600","2026-05-12 08:10:13.000","500","Failed to control some device.(deviceIds : [AH2076L1409098], success : [], failed : [AH2076L1409098])","2026-05-12 08:10:13.6930808","2026-05-12 08:10:14.4615008"
"ca0c0d89-614d-4358-b31f-2cb27a29cf5f","400031093","DSGS_SAN_DIEGO_GAS_ELECTRIC_CO","StopDispatchCommandDto","","2026-05-12 08:15:22.000","500","Failed to control some device.(deviceIds : [AH2076L1409098], success : [], failed : [AH2076L1409098])","2026-05-12 08:15:22.9749047","2026-05-12 08:15:23.6343786"
