"ColumnName","ColumnOrdinal","DataType","ColumnType"
"event_id","0","System.String","string"
"site_id","1","System.String","string"
"oem_group_id","2","System.String","string"
"command","3","System.String","string"
"power","4","System.Double","real"
"dispatch_time","5","System.DateTime","datetime"
"dispatch_status_code","6","System.String","string"
"response","7","System.String","string"
"event_processed_utc_time","8","System.DateTime","datetime"
"created_at_utc","9","System.DateTime","datetime"
