"tenantId","siteId","assetId","oem","sourceTimestamp","battery_200_DailyWhExp","battery_200_DailyWhImp","battery_200_IncWhExp","battery_200_IncWhImp","battery_200_TotWhExp","battery_200_TotWhImp","battery_200_W","battery_701_DailyWhAbs","battery_701_DailyWhInj","battery_701_Hz","battery_701_IncWhAbs","battery_701_IncWhExp","battery_701_IncWhImp","battery_701_IncWhInj","battery_701_LNV","battery_701_TotWhAbs","battery_701_TotWhInj","battery_701_W","battery_713_SoC","battery_713_SoH","battery_714_DCW","battery_714_DCWhAbs","battery_714_DCWhInj","battery_714_TotWhAbs","battery_714_TotWhInj","grid_200_DailyWhExp","grid_200_DailyWhImp","grid_200_IncWhExp","grid_200_IncWhImp","grid_200_TotWhExp","grid_200_TotWhImp","grid_200_W","inverter_701_DailyWhAbs","inverter_701_DailyWhInj","inverter_701_Hz","inverter_701_LNV","inverter_701_TotWhAbs","inverter_701_TotWhInj","inverter_701_W","load_200_DailyWhExp","load_200_DailyWhImp","load_200_IncWhExp","load_200_IncWhImp","load_200_TotWhExp","load_200_TotWhImp","load_200_W","pv_200_DailyWhExp","pv_200_IncWhExp","pv_200_IncWhImp","pv_200_TotWhExp","pv_200_TotWhImp","pv_200_W","pv_701_DailyWhAbs","pv_701_Hz","pv_701_IncWhAbs","pv_701_IncWhExp","pv_701_IncWhImp","pv_701_IncWhInj","pv_701_LNV","pv_701_TotWhAbs","pv_701_TotWhInj","pv_701_W","pv_714_DCW","pv_714_DCWhAbs","pv_714_DCWhInj","pv_714_IncDCWhAbs","pv_714_IncDCWhInj","time1d","time1mo","time1y","createdAtUTC","is_partial"
"","400001859","400001859","solax","2026-04-01 23:35:00.000","","","0","0","4,849,800","2,937,200","-384","","","","0","","","0","","0","0","","61","","","","","","","","","0","0","200","200","0","","","","","","","","","","0","100","0","21,990,800","837","","100","0","22,654,600","0","1,221","","","0","","","0","","0","0","","","0","0","0","0","1","4","2,026","2026-04-01 23:40:31.6638750","0"
"","400001882","400001882","solax","2026-04-01 23:35:00.000","","","0","100","5,046,800","2,997,500","-1,409","","","","0","","","0","","0","0","","56","","","","","","","","","0","0","200","200","0","","","","","","","","","","0","0","0","16,645,398","498","","200","0","17,224,800","0","1,907","","","0","","","0","","0","0","","","0","0","0","0","1","4","2,026","2026-04-01 23:40:31.6638750","0"
"","400001860","400001860","solax","2026-04-01 23:35:01.000","","","0","0","6,067,800","3,533,400","0","","","","0","","","0","","0","0","","100","","","","","","","","","0","0","200","200","0","","","","","","","","","","0","100","0","18,477,200","1,260","","100","0","19,300,400","0","1,260","","","0","","","0","","0","0","","","0","0","0","0","1","4","2,026","2026-04-01 23:40:31.6638750","0"
"","400003181","400003181","solax","2026-04-01 23:35:01.000","","","0","100","2,861,100","3,153,600","-746","","","","0","","","0","","0","0","","47","","","","","","","","","0","0","100","100","0","","","","","","","","","","0","100","0","10,685,900","772","","100","0","10,978,400","0","1,518","","","0","","","0","","0","0","","","0","0","0","0","1","4","2,026","2026-04-01 23:40:31.6638750","0"
"","400000948","400000948","tesla","2026-04-01 23:35:50.000","","","8","2","3,153,275","3,244,903","0","","","","0","","","0","","0","0","","100","","","","","","","","","40","4.25","16,433,919","2,459,417.25","-301","","","","","","","","","","0","56.25","0","7,875,812.25","613","","86","0","21,941,942","0","914","","","0","","","0","","0","0","","","0","0","0","0","1","4","2,026","2026-04-01 23:37:50.2444487","0"
"","400001431","400001431","tesla","2026-04-01 23:35:50.000","","","89","0","4,012,544","4,146,178","3,936","","","","0","","","0","","0","0","","71.73144876325088","","","","","","","","","1","2","49,739","16,028,058","-5","","","","","","","","","","0","158","0","27,513,083","4,593","","68","0","11,668,398","0","662","","","0","","","0","","0","0","","","0","0","0","0","1","4","2,026","2026-04-01 23:37:50.2444487","0"
"","400005107","400005107","tesla","2026-04-01 23:35:53.000","","","0","102","2,599,492","2,702,535","-1,269","","","","0","","","0","","0","0","","52.28070175438596","","","","","","","","","3","0","1,435,429","9,114,355","-6","","","","","","","","","","0","49","0","13,129,352","431","","154","0","5,553,469","0","1,706","","","0","","","0","","0","0","","","0","0","0","0","1","4","2,026","2026-04-01 23:37:50.2444487","0"
"","400001955","400001955","tesla","2026-04-01 23:35:54.000","","","18","5","4,780,901","4,933,004","-1","","","","0","","","0","","0","0","","100","","","","","","","","","158","0","3,839,164","6,060,307","-1,782","","","","","","","","","","0","51","0","13,432,019","500","","196","0","11,362,979","0","2,283","","","0","","","0","","0","0","","","0","0","0","0","1","4","2,026","2026-04-01 23:37:50.2444487","0"
"","400005805","400005805","tesla","2026-04-01 23:35:58.000","","","4","3","2,764,881","2,850,072","0","","","","0","","","0","","0","0","","43.20557491289199","","","","","","","","","1","2","1,730,977","11,505,376","-3","","","","","","","","","","0","3.375","0","11,615,883.875","-41.79999923706055","","1.375","0","1,926,675.875","0","-38.79999923706055","","","0","","","0","","0","0","","","0","0","0","0","1","4","2,026","2026-04-01 23:37:50.2444487","0"
"","400001795","400001795","tesla","2026-04-01 23:36:15.000","","","15","4","1,166,555","1,203,106","-1","","","","0","","","0","","0","0","","100","","","","","","","","","174","0","1,194,431.25","7,306,436","-2,134","","","","","","","","","","0","47.25","0","9,127,028","557.800048828125","","210.25","0","3,051,574.25","0","2,692.800048828125","","","0","","","0","","0","0","","","0","0","0","0","1","4","2,026","2026-04-01 23:37:50.2444487","0"
"","400001432","400001432","tesla","2026-04-01 23:36:21.000","","","17","5","3,164,137","3,217,572","-2","","","","0","","","0","","0","0","","100","","","","","","","","","44.25","0","2,504,469","1,143,203.875","-191","","","","","","","","","","0","24.75","0","5,138,327.875","169","","57","0","6,553,028","0","362","","","0","","","0","","0","0","","","0","0","0","0","1","4","2,026","2026-04-01 23:37:50.2444487","0"
"","400000665","400000665","tesla","2026-04-01 23:36:31.000","","","1","0","15,010,337","17,889,810","50","","","","0","","","0","","0","0","","100","","","","","","","","","15.5","3.5","6,381,299","7,622,199","3","","","","","","","","","","0","487","0","18,908,577","5,871","","498","0","20,547,150","0","5,818","","","0","","","0","","0","0","","","0","0","0","0","1","4","2,026","2026-04-01 23:37:50.2444487","0"
"","400002048","400002048","solax","2026-04-01 23:36:43.000","","","100","0","3,265,500","3,613,600","612","","","","0","","","0","","0","0","","97","","","","","","","","","100","0","5,562,500","8,917,800","0","","","","","","","","","","0","100","0","15,290,900","2,852","","200","0","12,283,700","0","2,240","","","0","","","0","","0","0","","","0","0","0","0","1","4","2,026","2026-04-01 23:37:21.0437145","0"
"","400001477","400001477","solax","2026-04-01 23:40:00.000","","","0","0","3,398,500","3,666,800","0","","","","0","","","0","","0","0","","99","","","","","","","","","100","0","2,731,300","3,230,900","-2,066","","","","","","","","","","0","100","0","9,750,200","722","","200","0","9,518,900","0","2,788","","","0","","","0","","0","0","","","0","0","0","0","1","4","2,026","2026-04-01 23:40:31.6638750","0"
"","400002030","400002030","solax","2026-04-01 23:40:00.000","","","300","0","22,738,000","13,273,300","3,700","","","","0","","","0","","0","0","","56","","","","","","","","","0","100","5,503,000","136,283,000","2,013","","","","","","","","","","0","400","0","156,038,200","6,161","","100","0","27,672,000","0","448","","","0","","","0","","0","0","","","0","0","0","0","1","4","2,026","2026-04-01 23:40:31.6638750","0"
"","400002056","400002056","solax","2026-04-01 23:40:00.000","","","0","0","2,031,200","2,744,400","0","","","","0","","","0","","0","0","","100","","","","","","","","","200","0","12,765,600","1,010,300","-1,586","","","","","","","","","","0","99","0","3,859,500","951","","200","0","16,327,900","0","2,537","","","0","","","0","","0","0","","","0","0","0","0","1","4","2,026","2026-04-01 23:40:31.6638750","0"
"","400002333","400002333","solax","2026-04-01 23:40:00.000","","","0","100","2,214,400","2,436,900","-491","","","","0","","","0","","0","0","","27","","","","","","","","","0","0","4,604,700","4,160,200","-387","","","","","","","","","","0","0","0","3,492,200","97","","0","0","4,159,100","0","781","","","0","","","0","","0","0","","","0","0","0","0","1","4","2,026","2026-04-01 23:40:31.6638750","0"
"","400002054","400002054","solax","2026-04-01 23:40:01.000","","","0","0","7,290,400","4,379,300","278","","","","0","","","0","","0","0","","99","","","","","","","","","0","0","8,275,000","5,287,000","0","","","","","","","","","","0","100","0","20,291,600","1,290","","100","0","24,279,600","0","1,012","","","0","","","0","","0","0","","","0","0","0","0","1","4","2,026","2026-04-01 23:40:31.6638750","0"
