"siteId","assetId","oem","sourceTimestamp","battery_200_DailyWhExp","battery_200_DailyWhExp_dl","battery_200_DailyWhImp","battery_200_DailyWhImp_dl","battery_200_IncWhExp","battery_200_IncWhExp_dl","battery_200_IncWhImp","battery_200_IncWhImp_dl","battery_200_TotWhExp","battery_200_TotWhExp_dl","battery_200_TotWhImp","battery_200_TotWhImp_dl","battery_200_W","battery_200_W_dl","battery_713_SoC","battery_713_SoC_dl","battery_713_SoH","battery_713_SoH_dl","grid_200_DailyWhExp","grid_200_DailyWhExp_dl","grid_200_DailyWhImp","grid_200_DailyWhImp_dl","grid_200_IncWhExp","grid_200_IncWhExp_dl","grid_200_IncWhImp","grid_200_IncWhImp_dl","grid_200_TotWhExp","grid_200_TotWhExp_dl","grid_200_TotWhImp","grid_200_TotWhImp_dl","grid_200_W","grid_200_W_dl","load_200_IncWhExp","load_200_IncWhExp_dl","load_200_IncWhImp","load_200_IncWhImp_dl","load_200_TotWhExp","load_200_TotWhExp_dl","load_200_TotWhImp","load_200_TotWhImp_dl","load_200_W","load_200_W_dl","pv_200_DailyWhExp","pv_200_DailyWhExp_dl","pv_200_IncWhExp","pv_200_IncWhExp_dl","pv_200_IncWhImp","pv_200_IncWhImp_dl","pv_200_TotWhExp","pv_200_TotWhExp_dl","pv_200_TotWhImp","pv_200_TotWhImp_dl","pv_200_W","pv_200_W_dl"
"400001859","400001859","solax","2026-04-01 23:35:00.000","","VALID","","VALID","0","VALID","0","VALID","4,849,800","VALID","2,937,200","VALID","-384","VALID","61","VALID","","VALID","","VALID","","VALID","0","VALID","0","VALID","200","VALID","200","VALID","0","VALID","0","VALID","100","VALID","0","VALID","21,990,800","VALID","837","VALID","","VALID","100","VALID","0","VALID","22,654,600","VALID","0","VALID","1,221","VALID"
"400001882","400001882","solax","2026-04-01 23:35:00.000","","VALID","","VALID","0","VALID","100","VALID","5,046,800","VALID","2,997,500","VALID","-1,409","VALID","56","VALID","","VALID","","VALID","","VALID","0","VALID","0","VALID","200","VALID","200","VALID","0","VALID","0","VALID","0","VALID","0","VALID","16,645,398","VALID","498","VALID","","VALID","200","VALID","0","VALID","17,224,800","VALID","0","VALID","1,907","VALID"
"400001860","400001860","solax","2026-04-01 23:35:01.000","","VALID","","VALID","0","VALID","0","VALID","6,067,800","VALID","3,533,400","VALID","0","VALID","100","VALID","","VALID","","VALID","","VALID","0","VALID","0","VALID","200","VALID","200","VALID","0","VALID","0","VALID","100","VALID","0","VALID","18,477,200","VALID","1,260","VALID","","VALID","100","VALID","0","VALID","19,300,400","VALID","0","VALID","1,260","VALID"
"400003181","400003181","solax","2026-04-01 23:35:01.000","","VALID","","VALID","0","VALID","100","VALID","2,861,100","VALID","3,153,600","VALID","-746","VALID","47","VALID","","VALID","","VALID","","VALID","0","VALID","0","VALID","100","VALID","100","VALID","0","VALID","0","VALID","100","VALID","0","VALID","10,685,900","VALID","772","VALID","","VALID","100","VALID","0","VALID","10,978,400","VALID","0","VALID","1,518","VALID"
"400000948","400000948","tesla","2026-04-01 23:35:50.000","","VALID","","VALID","8","VALID","2","VALID","3,153,275","VALID","3,244,903","VALID","0","VALID","100","VALID","","VALID","","VALID","","VALID","40","VALID","4.25","VALID","16,433,919","VALID","2,459,417.25","VALID","-301","VALID","0","VALID","56.25","VALID","0","VALID","7,875,812.25","VALID","613","VALID","","VALID","86","VALID","0","VALID","21,941,942","VALID","0","VALID","914","VALID"
"400001431","400001431","tesla","2026-04-01 23:35:50.000","","VALID","","VALID","89","VALID","0","VALID","4,012,544","VALID","4,146,178","VALID","3,936","VALID","71.73144876325088","VALID","","VALID","","VALID","","VALID","1","VALID","2","VALID","49,739","VALID","16,028,058","VALID","-5","VALID","0","VALID","158","VALID","0","VALID","27,513,083","VALID","4,593","VALID","","VALID","68","VALID","0","VALID","11,668,398","VALID","0","VALID","662","VALID"
"400005107","400005107","tesla","2026-04-01 23:35:53.000","","VALID","","VALID","0","VALID","102","VALID","2,599,492","VALID","2,702,535","VALID","-1,269","VALID","52.28070175438596","VALID","","VALID","","VALID","","VALID","3","VALID","0","VALID","1,435,429","VALID","9,114,355","VALID","-6","VALID","0","VALID","49","VALID","0","VALID","13,129,352","VALID","431","VALID","","VALID","154","VALID","0","VALID","5,553,469","VALID","0","VALID","1,706","VALID"
"400001955","400001955","tesla","2026-04-01 23:35:54.000","","VALID","","VALID","18","VALID","5","VALID","4,780,901","VALID","4,933,004","VALID","-1","VALID","100","VALID","","VALID","","VALID","","VALID","158","VALID","0","VALID","3,839,164","VALID","6,060,307","VALID","-1,782","VALID","0","VALID","51","VALID","0","VALID","13,432,019","VALID","500","VALID","","VALID","196","VALID","0","VALID","11,362,979","VALID","0","VALID","2,283","VALID"
"400005805","400005805","tesla","2026-04-01 23:35:58.000","","VALID","","VALID","4","VALID","3","VALID","2,764,881","VALID","2,850,072","VALID","0","VALID","43.20557491289199","VALID","","VALID","","VALID","","VALID","1","VALID","2","VALID","1,730,977","VALID","11,505,376","VALID","-3","VALID","0","VALID","3.375","VALID","0","VALID","11,615,883.875","VALID","-41.79999923706055","VALID","","VALID","1.375","VALID","0","VALID","1,926,675.875","VALID","0","VALID","-38.79999923706055","VALID"
"400001795","400001795","tesla","2026-04-01 23:36:15.000","","VALID","","VALID","15","VALID","4","VALID","1,166,555","VALID","1,203,106","VALID","-1","VALID","100","VALID","","VALID","","VALID","","VALID","174","VALID","0","VALID","1,194,431.25","VALID","7,306,436","VALID","-2,134","VALID","0","VALID","47.25","VALID","0","VALID","9,127,028","VALID","557.800048828125","VALID","","VALID","210.25","VALID","0","VALID","3,051,574.25","VALID","0","VALID","2,692.800048828125","VALID"
"400001432","400001432","tesla","2026-04-01 23:36:21.000","","VALID","","VALID","17","VALID","5","VALID","3,164,137","VALID","3,217,572","VALID","-2","VALID","100","VALID","","VALID","","VALID","","VALID","44.25","VALID","0","VALID","2,504,469","VALID","1,143,203.875","VALID","-191","VALID","0","VALID","24.75","VALID","0","VALID","5,138,327.875","VALID","169","VALID","","VALID","57","VALID","0","VALID","6,553,028","VALID","0","VALID","362","VALID"
"400000665","400000665","tesla","2026-04-01 23:36:31.000","","VALID","","VALID","1","VALID","0","VALID","15,010,337","VALID","17,889,810","VALID","50","VALID","100","VALID","","VALID","","VALID","","VALID","15.5","VALID","3.5","VALID","6,381,299","VALID","7,622,199","VALID","3","VALID","0","VALID","487","VALID","0","VALID","18,908,577","VALID","5,871","VALID","","VALID","498","VALID","0","VALID","20,547,150","VALID","0","VALID","5,818","VALID"
"400002048","400002048","solax","2026-04-01 23:36:43.000","","VALID","","VALID","100","VALID","0","VALID","3,265,500","VALID","3,613,600","VALID","612","VALID","97","VALID","","VALID","","VALID","","VALID","100","VALID","0","VALID","5,562,500","VALID","8,917,800","VALID","0","VALID","0","VALID","100","VALID","0","VALID","15,290,900","VALID","2,852","VALID","","VALID","200","VALID","0","VALID","12,283,700","VALID","0","VALID","2,240","VALID"
"400001477","400001477","solax","2026-04-01 23:40:00.000","","VALID","","VALID","0","VALID","0","VALID","3,398,500","VALID","3,666,800","VALID","0","VALID","99","VALID","","VALID","","VALID","","VALID","100","VALID","0","VALID","2,731,300","VALID","3,230,900","VALID","-2,066","VALID","0","VALID","100","VALID","0","VALID","9,750,200","VALID","722","VALID","","VALID","200","VALID","0","VALID","9,518,900","VALID","0","VALID","2,788","VALID"
