"ColumnName","ColumnOrdinal","DataType","ColumnType"
"battery_200_DailyWhExp","5","System.Double","real"
"battery_200_DailyWhImp","6","System.Double","real"
"battery_200_IncWhExp","7","System.Double","real"
"battery_200_IncWhImp","8","System.Double","real"
"battery_200_TotWhExp","9","System.Double","real"
"battery_200_TotWhImp","10","System.Double","real"
"battery_200_W","11","System.Double","real"
"battery_701_DailyWhAbs","12","System.Double","real"
"battery_701_DailyWhInj","13","System.Double","real"
"battery_701_Hz","14","System.Double","real"
"battery_701_IncWhAbs","15","System.Double","real"
"battery_701_IncWhExp","16","System.Double","real"
"battery_701_IncWhImp","17","System.Double","real"
"battery_701_IncWhInj","18","System.Double","real"
"battery_701_LNV","19","System.Double","real"
"battery_701_TotWhAbs","20","System.Double","real"
"battery_701_TotWhInj","21","System.Double","real"
"battery_701_W","22","System.Double","real"
"battery_713_SoC","23","System.Double","real"
"battery_713_SoH","24","System.Double","real"
"battery_714_DCW","25","System.Double","real"
"battery_714_DCWhAbs","26","System.Double","real"
"battery_714_DCWhInj","27","System.Double","real"
"battery_714_TotWhAbs","28","System.Double","real"
"battery_714_TotWhInj","29","System.Double","real"
"grid_200_DailyWhExp","30","System.Double","real"
"grid_200_DailyWhImp","31","System.Double","real"
"grid_200_IncWhExp","32","System.Double","real"
"grid_200_IncWhImp","33","System.Double","real"
"grid_200_TotWhExp","34","System.Double","real"
"grid_200_TotWhImp","35","System.Double","real"
"grid_200_W","36","System.Double","real"
"load_200_DailyWhExp","44","System.Double","real"
"load_200_DailyWhImp","45","System.Double","real"
"load_200_IncWhExp","46","System.Double","real"
"load_200_IncWhImp","47","System.Double","real"
"load_200_TotWhExp","48","System.Double","real"
"load_200_TotWhImp","49","System.Double","real"
"load_200_W","50","System.Double","real"
"pv_200_DailyWhExp","51","System.Double","real"
"pv_200_IncWhExp","52","System.Double","real"
"pv_200_IncWhImp","53","System.Double","real"
"pv_200_TotWhExp","54","System.Double","real"
"pv_200_TotWhImp","55","System.Double","real"
"pv_200_W","56","System.Double","real"
"pv_701_DailyWhAbs","57","System.Double","real"
"pv_701_Hz","58","System.Double","real"
"pv_701_IncWhAbs","59","System.Double","real"
"pv_701_IncWhExp","60","System.Double","real"
"pv_701_IncWhImp","61","System.Double","real"
"pv_701_IncWhInj","62","System.Double","real"
"pv_701_LNV","63","System.Double","real"
"pv_701_TotWhAbs","64","System.Double","real"
"pv_701_TotWhInj","65","System.Double","real"
"pv_701_W","66","System.Double","real"
"pv_714_DCW","67","System.Double","real"
"pv_714_DCWhAbs","68","System.Double","real"
"pv_714_DCWhInj","69","System.Double","real"
"pv_714_IncDCWhAbs","70","System.Double","real"
"pv_714_IncDCWhInj","71","System.Double","real"
