"siteId","type0_oemName","type0_oemSiteId","type1_oemName","type1_oemSiteId"
"100004609","Qcells","100004609","",""
"100004607","Qcells","100004607","",""
"100004611","Qcells","100004611","",""
"100003908","Qcells","100003908","",""
"100003907","Qcells","100003907","Qcells","SSMAK9HTBP"
"100003910","Qcells","100003910","",""
"400021028","SolarEdge","0000","",""
"400021054","Tesla","6f5893d9-49c1-410f-9a7c-4b2adb00f6ed","",""
"400021045","Tesla","4566eebe-568c-4a52-b92d-ca7d1b0d805e","",""
"400021084","Tesla","STE20241207-00521","",""
"400021036","Tesla","STE20250222-00028","",""
"400021005","Tesla","5492394","",""
"400020990","SolarEdge","4602010","",""
"400021070","Tesla","54c281e6-01b9-4785-bba6-647a357f1be7","",""
"400020985","SolarEdge","075099801-17","",""
"400021040","Tesla","0000","",""
"400021077","Tesla","bb76c247-ad44-4601-b03c-6ac7dc8bd55e","",""
"400021025","Tesla","00000000-0000-0000-0000-000000000000","",""
"400021017","Tesla","1707000-21-L--TG124358001TNH","",""
"400020960","SolarEdge","4578704","",""
