Siteid,battery kW,battery kWh,PV kW
400033905,7.62,19.4,9.84
400000604,3.84,5,2.87
400023359,7.68,10,4
400027175,3.81,10,5.74
400028169,7.68,10,8.2
400000689,5,9.7,6.15
400021787,11.52,15,9.13
400029635,7.68,10,15.58
400033988,11.5,13.5,8.075
400036750,11.5,13.5,9.46
400003073,7.59,20,11.89
400027283,11.5,13.5,4.51
400026614,4.99,9.7,6.56
400005328,11.5,13.5,6.15
400025815,5,9.7,5.33
400033675,5,9.7,9.43
400003395,5,9.7,6.56
400020582,23,27,10.25
400030535,23,27,13.12
400000852,3.75,9.7,4.675
400015768,11.5,13.5,6.15
400026666,5,9.7,6.56
400029211,23,27,14.35
400015540,7.62,19.4,8.2
400031301,5,9.7,6.56
400020786,11.5,13.5,12.3
400027158,11.5,13.5,8.61
400033083,3.75,9.7,5.33
400017316,3.84,5,3.6
400028404,3.84,5,3.16
400026120,5,9.7,4.92
400002253,5,9.7,6.15
400026293,11.5,13.5,6.64
400020896,5.5,10,6.15
400019323,11.5,13.5,5.33
400016745,3.75,9.7,4.92
400018481,7.68,10,10.66
400021817,7.68,10,8.61
400019987,11.5,13.5,6.97
400026412,11.5,13.5,6.56
400027007,5,9.7,5.74
400029088,11,20,13.53
400019535,7.68,10,8.3
400027697,3.75,9.7,4.1
400003265,5,9.7,6.97
400025325,5,9.7,5.33
400032395,3.75,9.7,4.51
400030128,5.5,10,7.79
400034688,5.5,10,5.33
400010181,10,19.4,13.94
400034106,3.84,5,7.38
400018513,7.68,10,5.33
400023280,3.75,9.7,4.92
400002781,5,9.7,4.92
400022350,3.84,5,3.2
400012377,7.59,20,8.17
400032011,3.84,5,5.74
400036625,3.75,9.7,3.69
400032216,3.75,9.7,3.69
400031571,7.68,10,8.4
400029521,11.5,13.5,6.15
400023431,3.75,9.7,4.51
400004959,5,9.7,6.15
400030167,3.75,9.7,4.1
400028204,5,9.7,8.2
400001253,7.59,15,14.025
400025921,7.62,19.4,8.2
400029470,23,27,10.25
400025830,23,27,7.79
400014213,3.84,5,4
400030120,23,27,28.05
400026775,11.5,13.5,7.65
400031155,3.75,9.7,4.92
400022060,10,19.4,13.94
400019984,11.5,13.5,8.61
400036488,3.84,5,10.25
400023665,7.59,15,6.56
400022266,3.84,5,4
400020699,23,27,13.94
400031600,11.5,13.5,5.33
400024134,5,9.7,6.15
400019219,11.5,13.5,4.98
400003255,7.59,15,5.74
400020709,23,27,10.66
400018645,5,9.7,9.43
400023466,3.75,9.7,5.74
400032459,23,27,14.35
400025549,3.75,9.7,4.1
400023994,3.26,9.7,4.51
400029431,7.62,19.4,9.43
400003248,5,9.7,5.33
400036761,3.75,9.7,4.1
400027318,7.59,20,11.61
400022843,11.5,13.5,6.15
400003354,5.5,10,5.1
400020347,5,9.7,6.97
400025598,11.5,13.5,8.075
400020519,11.5,13.5,3.69
400025725,5,9.7,8.2
400032454,5,9.7,5.33
400010154,3.75,9.7,5.33
400018555,11.52,15,9.84
400033691,3.75,9.7,4.1
400033973,7.59,20,4.3
400016997,7.68,10,5.2
400017599,3.84,5,4.92
400035175,11.5,13.5,8.61
400017036,5,9.7,6.15
400003487,7.59,20,11.89
400025145,11.5,13.5,8.715
400001255,5.5,10,8.61
400034364,11.5,13.5,7.65
400018958,3.81,10,5.33
400033481,11.5,13.5,7.79
400018491,3.26,9.7,4.51
400040232,7.59,20,7.74
400029056,3.84,5,5.33
400030965,7.68,10,7.38
400002071,5,9.7,7.38
400032316,5,9.7,8.2
400022684,11.5,13.5,6.64
400014910,3.84,5,7.6
400026456,5,9.7,6.15
400030873,23,27,13.6
400026488,9.99,29.1,11.48
400000659,5,9.7,9.43
400000273,9.99,19.4,10.66
400023560,5,9.7,6.56
400006635,5.5,10,12.3
400030842,11.5,13.5,5.04
400031784,23,27,8.3
400026133,11.5,13.5,7.38
400027449,11.5,13.5,8.6
400023242,5,9.7,11.89
400026061,7.68,10,4.98
400014234,7.62,19.4,6.56
400028140,7.68,10,6.97
400019921,10,19.4,9.84
400022375,5,9.7,8.2
400035486,5.5,10,5.59
400020464,11.5,13.5,5.33
400026954,5,9.7,5.74
400018772,15.19,30,20.16
400033745,11.5,13.5,3.28
400021855,5,9.7,7.79
400001314,5,9.7,8.61
400027006,7.59,15,10.66
400024452,5.5,10,12.3
400036446,7.68,10,5.395
400036445,7.68,10,7.47
400028034,3.84,5,4.1
400024997,23,27,6.56
400028243,3.84,5,6.715
400000181,7.62,19.4,9.84
400036669,11,20,13.33
400026932,9.99,19.4,10.66
400011629,7.62,19.4,7.79
400028231,3.84,5,3.16
400016989,10,19.4,11.89
400006462,3.84,5,5.33
400028510,5.5,10,4.1
400003489,5.5,10,8.61
400032998,5,9.7,9.43
400025096,3.84,5,3.28
400026074,23,27,10.79
400026333,11.5,13.5,7.47
400001265,7.59,15,5.74
400011292,11.52,15,6.56
400000627,3.75,9.7,4.51
400019099,5,9.7,9.84
400034841,7.68,10,5.74
400004138,5.5,10,7.38
400014184,3.84,5,5.2
400035539,11.5,13.5,5.33
400029711,3.84,5,3.28
400037289,23,27,13.12
400016909,5,9.7,6.97
400026421,11.5,13.5,5.6
400028132,15,29.1,15.17
400034635,5.5,10,4.92
400010793,15.19,30,11.18
400034497,3.75,9.7,4.1
400019914,11.5,13.5,6.56
400003363,5,9.7,8.61
400028512,3.75,9.7,4.1
400036240,5,9.7,12.71
400024391,3.75,9.7,5.33
400003421,7.59,20,10.25
400017394,5,9.7,6.15
400035464,19.2,25,17.22
400026407,23,27,6.56
400029097,3.75,9.7,5.395
400033440,3.75,9.7,3.28
400021943,11.5,13.5,4.51
400015911,3.75,9.7,4.1
400000585,11.5,13.5,10.66
400023855,11.5,13.5,6.97
400031998,7.59,20,9.43
400021516,5.5,10,8.2
400016451,5,9.7,6.97
400035109,5,9.7,7.38
400013283,3.84,5,3.28
400029872,7.59,20,10.66
400003169,10,19.4,6.56
400036210,3.84,5,7.79
400016509,3.84,5,3.2
400020580,11.5,13.5,3.28
400001735,9.99,19.4,11.89
400026831,3.75,9.7,4.1
400019902,23,27,11.48
400023563,5,9.7,6.97
400020106,3.75,9.7,3.28
400001571,7.59,20,7.14
400035405,11.52,15,6.56
400019432,7.59,15,7.29
400036494,3.75,9.7,4.92
400026887,5,9.7,8.61
400025418,11.5,13.5,6.56
400019418,7.59,15,8.2
400020723,11.5,13.5,5.74
400020924,3.81,10,4.1
400030233,5.5,10,8.2
400018993,5,9.7,5.74
400005372,7.62,19.4,8.2
400034588,5.7,19.4,5.33
400022269,3.75,9.7,4.51
400005233,11.5,13.5,4.92
400023791,11.5,13.5,5.33
400021744,5,9.7,6.15
400028194,3.84,5,3.16
400033014,3.75,9.7,5.74
400019692,15.36,20,14.76
400026482,11.5,13.5,5.95
400034743,5,9.7,8.2
400021912,11.5,13.5,6.64
400029031,3.84,5,4.8
400008928,7.62,19.4,9.84
400013128,3.75,9.7,4.92
400000592,5,9.7,5.74
400035934,3.75,9.7,4.92
400029492,11.5,13.5,4.92
400001248,7.59,15,6.15
400023880,11.5,13.5,11.475
400025838,5,13.5,4.51
400028692,5.5,10,5.74
400036775,11.5,13.5,4.1
400033965,5.5,10,4.92
400024508,5,9.7,6.97
400033303,9.99,19.4,12.3
400019565,15.36,20,10.25
400030376,3.26,19.4,4.92
400031722,34.5,40.5,14.11
400017318,5.7,19.4,5.74
400026596,9.99,19.4,12.71
400023206,3.75,9.7,4.51
400028024,3.84,5,3.28
400021459,23,27,9.02
400022273,3.75,9.7,4.1
400029193,23,27,13.28
400028071,7.59,20,9.84
400022349,11.52,15,6.97
400020236,3.75,9.7,3.28
400024068,3.75,9.7,4.92
400018373,10,19.4,12.3
400036191,7.68,10,9.13
400005269,23,27,8.61
400021708,11.5,13.5,7.31
400027999,3.84,5,4.8
400022638,7.59,20,12.3
400004401,7.62,19.4,8.2
400013363,7.62,19.4,9.02
400031506,5.7,19.4,6.97
400026753,23,27,8.61
400033023,5.5,10,9.02
400036323,23,27,22.36
400036006,5,9.7,9.02
400033537,5,9.7,4.1
400025018,11.5,13.5,8.2
400028127,11.52,15,9.84
400033367,23,27,10.32
400030648,5,9.7,7.38
400025400,11.5,13.5,8.5
400024743,7.62,19.4,9.84
400029131,3.84,5,6.715
400025338,11.5,13.5,9.46
400025271,11.5,13.5,10.75
400029828,7.68,10,8.61
400019326,23,27,14.875
400017517,7.62,19.4,9.84
400023149,15.19,40,27.09
400036434,11.5,13.5,5.74
400028053,3.84,5,3.28
400026990,11.52,15,14.76
400029079,3.84,5,3.69
400000621,3.84,5,4.92
400023639,11.5,13.5,6.32
100003532,7.59,20,10.75
400024575,11.5,13.5,9.84
400029029,7.68,10,7.38
400020317,34.5,40.5,11.48
400030061,7.59,20,9.84
400020163,5,9.7,6.97
400003194,5,9.7,8.2
400028706,7.59,20,8.17
400021737,7.68,10,6.64
400035917,11.5,13.5,4.51
400003355,3.84,5,3.69
400003337,5,9.7,7.38
400008865,7.62,19.4,5.33
400029341,11.5,13.5,6.97
400005019,3.75,9.7,4.92
400031959,7.68,10,8.5
400016961,3.75,9.7,4.1
400027070,3.75,9.7,4.92
400023519,3.75,9.7,3.28
400029856,7.68,10,10.66
400006792,7.59,15,6.56
400031470,3.75,9.7,4.1
400011286,5,9.7,4.51
400012753,23.04,30,17.22
400028767,5.5,10,4.3
400020564,11.5,13.5,6.97
400019821,11.5,13.5,6.15
400030356,3.75,9.7,3.69
400020557,23,27,9.02
400023087,11.5,13.5,10.2
400022213,3.84,5,6.56
400020136,7.59,20,12.9
400022225,15.19,40,17.63
400033685,23,27,11.07
400018691,7.68,10,3.735
400020321,23,27,8.61
400021481,11.5,13.5,6.56
400003701,5,9.7,6.97
400011367,3.84,5,4.92
400020692,11.5,13.5,8.2
400021061,5,9.7,10.25
400018519,15.36,20,10.66
400003244,3.75,9.7,4.92
400034202,11.52,15,9.43
400034353,11.5,13.5,12.71
400020691,7.59,20,9.84
400033716,7.62,19.4,13.33
400016723,5,9.7,10.66
400019336,23,27,17.22
400037253,7.59,20,8.6
400036559,11.5,13.5,5.74
400027794,10,19.4,11.62
400021671,5,9.7,5.33
400021876,7.68,10,7.38
400020713,11.5,13.5,5.74
400035338,3.84,5,6.15
400034145,5.5,10,4.1
400023299,3.84,5,3.6
400028208,7.68,10,7.2
400011990,5,9.7,11.07
400019001,7.59,15,8.2
400022313,7.68,10,12.3
400011655,5,9.7,4.51
400019529,23,27,11.18
400026524,11.5,13.5,4.92
400027192,15.19,40,13.33
400001801,5,9.7,6.97
400034173,3.84,5,3.6
400030858,11.5,13.5,8.075
400033850,3.75,9.7,3.28
400036283,23,27,11.07
400021529,5.5,10,6.97
400037232,3.75,9.7,5.74
400036852,3.84,5,7.38
400019459,7.59,15,8.2
400025738,34.5,40.5,12.3
400032404,3.75,9.7,4.51
400034356,10,19.4,13.12
400037342,3.84,5,6
400033526,11.5,13.5,5.33
400031016,15.36,20,9.43
400021903,7.68,10,8.61
400033958,3.84,5,4.4
400023721,9.99,19.4,10.66
400019976,23,27,11.89
400023417,3.75,9.7,5.74
400033734,11.5,13.5,8.61
400023523,9.99,19.4,13.12
400021058,11.5,13.5,5.74
400023616,7.68,10,6.15
400003378,3.75,9.7,5.33
400018619,11.5,13.5,6.15
400022394,5,9.7,8.2
400003353,7.59,15,6.97
400029378,11.5,13.5,4.1
400005197,11.5,13.5,4.92
400033891,7.59,15,8.61
400034486,5,9.7,6.56
400027099,3.75,9.7,4.1
400019540,3.75,9.7,4.1
400030955,3.84,5,4.92
400031533,5.7,19.4,7.79
400020316,11.5,13.5,6.97
400022487,7.62,19.4,6.97
400022374,7.62,19.4,10.25
400021640,7.68,10,6.97
400016661,7.59,15,9.03
400022954,5,9.7,6.15
400013269,15,29.1,17.63
400027817,5,9.7,4.1
400023553,5,13.5,5.74
400005134,23,27,17.63
400032833,3.75,9.7,3.69
400000079,11.5,13.5,5.1
400000836,5,9.7,10.25
400035897,3.84,5,4.4
400033885,7.62,19.4,9.43
400000681,5,9.7,9.43
400020771,11.5,13.5,5.74
400026129,11.5,13.5,3.69
400035813,5,9.7,7.79
400019339,11.5,13.5,6.15
400003162,5.5,10,5.33
400032067,5.5,10,4.1
400029527,15.19,40,24.225
400028105,3.84,5,5.74
400020704,11.5,13.5,9.02
400012137,5,9.7,5.33
400026406,23,27,15.725
400024063,7.62,19.4,5.74
400019890,11.5,13.5,9.02
400023988,3.75,9.7,4.92
400029412,23,27,13.53
400035834,3.75,9.7,5.81
400021379,7.59,15,8.2
400034488,5,9.7,6.15
400029160,3.84,5,4.3
400035960,11.5,13.5,5.04
400035867,23,27,12.3
400037308,5,9.7,5.74
400035544,11.5,13.5,6.56
400033577,3.75,9.7,3.28
400024744,3.84,5,4.51
400037241,5,9.7,9.84
400035119,5,9.7,11.89
400028957,5.7,19.4,6.15
400004926,5,9.7,3.69
400008888,3.75,9.7,3.28
400035487,11.5,13.5,12.3
400030685,9.99,19.4,12.3
400023672,3.75,9.7,3.69
400001550,5,9.7,5.33
400015355,11.5,13.5,11.475
400025757,5.7,19.4,7.79
400033966,9.99,19.4,12.3
400033378,5,9.7,10.66
400034607,3.75,9.7,4.1
400031318,3.75,9.7,4.51
400032825,3.75,9.7,5.33
400033341,3.84,5,4.1
400028939,11.5,13.5,7.38
400034163,11.52,15,11.89
400032220,7.68,10,6.56
400023706,3.84,5,4.92
400017276,5,9.7,6.15
400037155,5,9.7,5.74
400033098,5,9.7,6.56
400035882,11.5,13.5,5.33
400000653,5,9.7,6.15
400034652,3.26,9.7,4.1
400028099,3.84,5,3.28
400028008,3.84,5,4.92
400030260,5,9.7,6.15
400026208,7.59,15,7.79
400007872,5,9.7,6.56
400022918,3.84,5,4.92
400003026,3.75,9.7,5.33
400021958,11,20,16.575
400000640,5,9.7,7.38
400023225,5,9.7,6
400028260,3.84,5,10.27
400020683,23,27,15.58
400023533,3.84,5,3.44
400016502,3.84,5,6
400030618,5,9.7,4.51
400034035,3.84,5,3.6
400035271,3.75,9.7,5.33
400005864,5.5,10,5.46
400035435,11.52,15,9.84
400036466,5,9.7,10.25
